time,instrument,granularity,side,price,position_size,equity,drawdown
2025-11-07 13:30:00+00:00,EUR_USD,M15,BUY,1.15679,2503.48,100139.14,0.000409
2025-11-10 07:15:00+00:00,EUR_USD,M15,FLAT,1.15609,0.0,100137.63,0.000424
2025-11-10 16:00:00+00:00,EUR_USD,M15,BUY,1.15521,2503.44,100137.63,0.000424
2025-11-10 20:15:00+00:00,EUR_USD,M15,FLAT,1.15629,0.0,100139.97,0.000401
2025-11-10 21:00:00+00:00,EUR_USD,M15,BUY,1.15625,2503.5,100139.97,0.000401
2025-11-10 23:15:00+00:00,EUR_USD,M15,FLAT,1.15572,0.0,100138.83,0.000412
2025-11-10 23:30:00+00:00,EUR_USD,M15,BUY,1.1559,2503.47,100138.83,0.000412
2025-11-10 23:45:00+00:00,EUR_USD,M15,FLAT,1.15569,0.0,100138.37,0.000417
2025-11-11 12:15:00+00:00,EUR_USD,M15,BUY,1.15724,2503.46,100138.37,0.000417
2025-11-11 13:30:00+00:00,EUR_USD,M15,FLAT,1.16008,0.0,100144.51,0.000356
2025-11-11 13:45:00+00:00,EUR_USD,M15,BUY,1.1601,2503.61,100144.51,0.000356
2025-11-12 07:45:00+00:00,EUR_USD,M15,FLAT,1.15837,0.0,100140.78,0.000393
2025-11-12 21:00:00+00:00,EUR_USD,M15,BUY,1.15861,2503.52,100140.78,0.000393
2025-11-13 08:00:00+00:00,EUR_USD,M15,FLAT,1.1619,0.0,100147.88,0.000322
2025-11-13 08:15:00+00:00,EUR_USD,M15,BUY,1.16136,2503.7,100147.88,0.000322
2025-11-13 08:45:00+00:00,EUR_USD,M15,FLAT,1.16282,0.0,100151.03,0.00029
2025-11-13 09:30:00+00:00,EUR_USD,M15,BUY,1.16135,2503.78,100151.03,0.00029
2025-11-13 16:45:00+00:00,EUR_USD,M15,FLAT,1.16488,0.0,100158.63,0.000215
2025-11-13 18:00:00+00:00,EUR_USD,M15,BUY,1.16481,2503.97,100158.63,0.000215
2025-11-13 20:45:00+00:00,EUR_USD,M15,FLAT,1.1633,0.0,100155.39,0.000247
2025-11-13 21:00:00+00:00,EUR_USD,M15,BUY,1.1633,2503.88,100155.39,0.000247
2025-11-14 11:00:00+00:00,EUR_USD,M15,FLAT,1.16112,0.0,100150.7,0.000294
2025-11-14 11:15:00+00:00,EUR_USD,M15,BUY,1.16108,2503.77,100150.7,0.000294
2025-11-14 11:45:00+00:00,EUR_USD,M15,FLAT,1.16195,0.0,100152.57,0.000275
2025-11-18 13:15:00+00:00,EUR_USD,M15,BUY,1.1598,2503.81,100152.57,0.000275
2025-11-18 17:00:00+00:00,EUR_USD,M15,FLAT,1.15777,0.0,100148.19,0.000319
2025-11-20 19:30:00+00:00,EUR_USD,M15,BUY,1.15366,2503.7,100148.19,0.000319
2025-11-21 11:45:00+00:00,EUR_USD,M15,FLAT,1.1506,0.0,100141.55,0.000385
2025-11-21 12:30:00+00:00,EUR_USD,M15,BUY,1.15178,2503.54,100141.55,0.000385
2025-11-21 14:00:00+00:00,EUR_USD,M15,FLAT,1.15126,0.0,100140.42,0.000396
2025-11-24 08:45:00+00:00,EUR_USD,M15,BUY,1.15278,2503.51,100140.42,0.000396
2025-11-24 16:15:00+00:00,EUR_USD,M15,FLAT,1.15209,0.0,100138.92,0.000411
2025-11-24 16:30:00+00:00,EUR_USD,M15,BUY,1.15244,2503.47,100138.92,0.000411
2025-11-25 01:15:00+00:00,EUR_USD,M15,FLAT,1.1527,0.0,100139.49,0.000406
2025-11-25 13:00:00+00:00,EUR_USD,M15,BUY,1.15494,2503.49,100139.49,0.000406
2025-11-25 15:00:00+00:00,EUR_USD,M15,FLAT,1.15707,0.0,100144.11,0.00036
2025-11-25 15:30:00+00:00,EUR_USD,M15,BUY,1.15726,2503.6,100144.11,0.00036
2025-11-27 00:15:00+00:00,EUR_USD,M15,FLAT,1.16032,0.0,100150.74,0.000293
2025-11-27 00:30:00+00:00,EUR_USD,M15,BUY,1.16023,2503.77,100150.74,0.000293
2025-11-27 01:00:00+00:00,EUR_USD,M15,FLAT,1.16059,0.0,100151.52,0.000286
2025-11-27 02:45:00+00:00,EUR_USD,M15,BUY,1.16038,2503.79,100151.52,0.000286
2025-11-27 14:30:00+00:00,EUR_USD,M15,FLAT,1.15924,0.0,100149.06,0.00031
2025-11-28 01:00:00+00:00,EUR_USD,M15,BUY,1.15972,2503.73,100149.06,0.00031
2025-11-28 08:30:00+00:00,EUR_USD,M15,FLAT,1.15727,0.0,100143.77,0.000363
2025-11-30 22:45:00+00:00,EUR_USD,M15,BUY,1.15991,2503.59,100143.77,0.000363
2025-12-01 12:45:00+00:00,EUR_USD,M15,FLAT,1.16488,0.0,100154.48,0.000256
2025-12-01 13:00:00+00:00,EUR_USD,M15,BUY,1.16444,2503.86,100154.48,0.000256
2025-12-01 17:00:00+00:00,EUR_USD,M15,FLAT,1.16212,0.0,100149.49,0.000306
2025-12-01 17:15:00+00:00,EUR_USD,M15,BUY,1.16267,2503.74,100149.49,0.000306
2025-12-01 20:45:00+00:00,EUR_USD,M15,FLAT,1.16096,0.0,100145.81,0.000343
2025-12-01 21:00:00+00:00,EUR_USD,M15,BUY,1.16108,2503.65,100145.81,0.000343
2025-12-02 03:00:00+00:00,EUR_USD,M15,FLAT,1.161,0.0,100145.63,0.000344
2025-12-02 18:45:00+00:00,EUR_USD,M15,BUY,1.16087,2503.64,100145.63,0.000344
2025-12-02 20:15:00+00:00,EUR_USD,M15,FLAT,1.162,0.0,100148.07,0.00032
2025-12-02 20:45:00+00:00,EUR_USD,M15,BUY,1.16246,2503.7,100148.07,0.00032
2025-12-03 01:30:00+00:00,EUR_USD,M15,FLAT,1.16364,0.0,100150.61,0.000295
2025-12-03 04:00:00+00:00,EUR_USD,M15,BUY,1.1637,2503.77,100150.61,0.000295
